smeekt	smeken
helpt	helpen
sommeert	sommeren
instrueert	instrueren
gebaart	gebaren
ontraadt	ontraden
traint	trainen
vraagt	vragen
overtuigt	overtuigen
gunt	gunnen
verwijt	verwijten
motiveert	motiveren
machtigt	machtigen
dwingt	dwingen
verplicht	verplichten
commandeert	commanderen
beweegt	bewegen
beveelt	bevelen
prikkelt	prikkelen
verbiedt	verbieden
verhindert	verhinderen
verleidt	verleiden
belet	beletten
gelast	gelasten
gebiedt	gebieden
overreedt	overreden
stimuleert	stimuleren
waarschuwt	waarschuwen
leert	leren
suggereert	suggereren
verzoekt	verzoeken
adviseert	adviseren
belemmert	belemmeren
